Ingredient code,Ingredient despcription,Nutrient code,Nutrient description ,Nutrient value
1073,"Dessert topping, semi solid, frozen",601,Cholesterol,0
1073,"Dessert topping, semi solid, frozen",606,"Fatty acids, total saturated",21.783
1073,"Dessert topping, semi solid, frozen",645,"Fatty acids, total monounsaturated",1.616
1073,"Dessert topping, semi solid, frozen",646,"Fatty acids, total polyunsaturated",0.523
1074,"Sour cream, imitation, cultured",204,Total Fat,19.52
1074,"Sour cream, imitation, cultured",601,Cholesterol,0
1074,"Sour cream, imitation, cultured",606,"Fatty acids, total saturated",17.791
1074,"Sour cream, imitation, cultured",645,"Fatty acids, total monounsaturated",0.588
1074,"Sour cream, imitation, cultured",646,"Fatty acids, total polyunsaturated",0.056
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",204,Total Fat,3.2
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",601,Cholesterol,12
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",606,"Fatty acids, total saturated",1.86
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",645,"Fatty acids, total monounsaturated",0.688
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",646,"Fatty acids, total polyunsaturated",0.108
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",204,Total Fat,1.9
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",601,Cholesterol,8
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",606,"Fatty acids, total saturated",1.11
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",645,"Fatty acids, total monounsaturated",0.4
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",646,"Fatty acids, total polyunsaturated",0.058
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",204,Total Fat,0.95
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",601,Cholesterol,5
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",606,"Fatty acids, total saturated",0.568
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",645,"Fatty acids, total monounsaturated",0.21
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",646,"Fatty acids, total polyunsaturated",0.032
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",204,Total Fat,0.08
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",601,Cholesterol,3
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",606,"Fatty acids, total saturated",0.049
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",645,"Fatty acids, total monounsaturated",0.017
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",646,"Fatty acids, total polyunsaturated",0.006
1088,"Milk, buttermilk, fluid, cultured, lowfat",204,Total Fat,1.07
1088,"Milk, buttermilk, fluid, cultured, lowfat",601,Cholesterol,4
1088,"Milk, buttermilk, fluid, cultured, lowfat",606,"Fatty acids, total saturated",0.66
1088,"Milk, buttermilk, fluid, cultured, lowfat",645,"Fatty acids, total monounsaturated",0.254
1088,"Milk, buttermilk, fluid, cultured, lowfat",646,"Fatty acids, total polyunsaturated",0.033
1090,"Milk, dry, whole, with added vitamin D",204,Total Fat,26.71
1090,"Milk, dry, whole, with added vitamin D",601,Cholesterol,97
1090,"Milk, dry, whole, with added vitamin D",606,"Fatty acids, total saturated",16.742
1090,"Milk, dry, whole, with added vitamin D",645,"Fatty acids, total monounsaturated",7.924
1090,"Milk, dry, whole, with added vitamin D",646,"Fatty acids, total polyunsaturated",0.665
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",204,Total Fat,0.77
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",601,Cholesterol,20
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",606,"Fatty acids, total saturated",0.499
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",645,"Fatty acids, total monounsaturated",0.201
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",646,"Fatty acids, total polyunsaturated",0.03
1094,"Milk, buttermilk, dried",204,Total Fat,5.78
1094,"Milk, buttermilk, dried",601,Cholesterol,69
1094,"Milk, buttermilk, dried",606,"Fatty acids, total saturated",3.598
1094,"Milk, buttermilk, dried",645,"Fatty acids, total monounsaturated",1.669
1094,"Milk, buttermilk, dried",646,"Fatty acids, total polyunsaturated",0.215
1095,"Milk, canned, condensed, sweetened",204,Total Fat,8.7
1095,"Milk, canned, condensed, sweetened",601,Cholesterol,34
1095,"Milk, canned, condensed, sweetened",606,"Fatty acids, total saturated",5.486
1095,"Milk, canned, condensed, sweetened",645,"Fatty acids, total monounsaturated",2.427
1095,"Milk, canned, condensed, sweetened",646,"Fatty acids, total polyunsaturated",0.337
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",204,Total Fat,7.56
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",601,Cholesterol,29
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",606,"Fatty acids, total saturated",4.591
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",645,"Fatty acids, total monounsaturated",2.335
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",646,"Fatty acids, total polyunsaturated",0.245
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",204,Total Fat,0.2
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",601,Cholesterol,4
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",606,"Fatty acids, total saturated",0.121
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",645,"Fatty acids, total monounsaturated",0.062
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",646,"Fatty acids, total polyunsaturated",0.006
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",204,Total Fat,3.39
